Date,Open,High,Low,Close,Adj Close,Volume
2009-07-31,22.430000,22.430000,22.350000,22.350000,0.000000,150
2009-08-03,22.600000,22.709999,22.600000,22.639999,0.000000,950
2009-08-04,22.030001,22.420000,22.030001,22.240000,0.000000,399
2009-08-05,21.879999,21.879999,21.799999,21.799999,0.000000,235
2009-08-06,22.620001,22.709999,22.620001,22.709999,0.000000,1000
2009-08-07,22.379999,23.000000,22.379999,22.870001,0.000000,600
2009-08-10,23.070000,23.389999,23.070000,23.389999,0.000000,341
2009-08-11,null,null,null,null,null,null
2009-08-12,22.459999,22.459999,22.309999,22.309999,0.000000,490
2009-08-13,22.629999,22.629999,22.600000,22.600000,0.000000,75
2009-08-14,22.730000,22.740000,22.730000,22.740000,0.000000,300
2009-08-17,22.350000,22.400000,22.350000,22.400000,0.000000,30
2009-08-18,null,null,null,null,null,null
2009-08-19,22.990000,22.990000,22.959999,22.959999,0.000000,100
2009-08-20,22.830000,23.250000,22.830000,23.100000,0.000000,70
2009-08-21,21.930000,22.150000,21.930000,22.150000,0.000000,100
2009-08-24,22.350000,22.410000,22.350000,22.410000,0.000000,500
2009-08-25,22.110001,22.309999,22.070000,22.309999,0.000000,300
2009-08-26,22.500000,22.500000,22.500000,22.500000,0.000000,10
2009-08-27,22.230000,22.500000,22.230000,22.350000,0.000000,864
2009-08-28,null,null,null,null,null,null
2009-08-31,22.040001,22.040001,21.889999,21.889999,0.000000,473
2009-09-01,22.040001,22.430000,22.040001,22.400000,0.000000,175
2009-09-02,21.629999,21.629999,21.629999,21.629999,0.000000,500
2009-09-03,null,null,null,null,null,null
2009-09-04,21.660000,21.900000,21.660000,21.900000,0.000000,35
2009-09-07,22.059999,22.120001,21.820000,21.820000,0.000000,151
2009-09-08,null,null,null,null,null,null
2009-09-09,null,null,null,null,null,null
2009-09-10,null,null,null,null,null,null
2009-09-11,21.450001,21.610001,21.450001,21.610001,0.000000,100
2009-09-14,20.969999,20.969999,20.900000,20.900000,0.000000,300
2009-09-15,null,null,null,null,null,null
2009-09-16,null,null,null,null,null,null
2009-09-17,20.790001,21.110001,20.770000,21.110001,0.000000,1161
2009-09-18,null,null,null,null,null,null
2009-09-21,21.040001,21.049999,20.750000,20.750000,0.000000,558
2009-09-22,null,null,null,null,null,null
2009-09-23,null,null,null,null,null,null
2009-09-24,20.870001,21.299999,20.870001,21.219999,0.000000,4342
2009-09-25,null,null,null,null,null,null
2009-09-28,20.290001,20.850000,20.270000,20.850000,0.000000,500
2009-09-29,null,null,null,null,null,null
2009-09-30,null,null,null,null,null,null
2009-10-01,20.969999,21.190001,20.969999,21.190001,0.000000,1
2009-10-02,null,null,null,null,null,null
2009-10-05,19.639999,19.870001,19.639999,19.850000,0.000000,270
2009-10-06,null,null,null,null,null,null
2009-10-07,null,null,null,null,null,null
2009-10-08,null,null,null,null,null,null
2009-10-09,20.790001,20.799999,20.790001,20.799999,0.000000,400
2009-10-12,20.590000,20.590000,20.490000,20.490000,0.000000,100
2009-10-13,null,null,null,null,null,null
2009-10-14,20.610001,20.830000,20.610001,20.610001,0.000000,48
2009-10-15,20.820000,20.820000,20.799999,20.820000,0.000000,500
2009-10-16,null,null,null,null,null,null
2009-10-19,null,null,null,null,null,null
2009-10-20,20.450001,20.450001,20.420000,20.450001,0.000000,65
2009-10-21,20.350000,20.500000,20.330000,20.350000,0.000000,156
2009-10-22,20.620001,20.620001,20.620001,20.620001,0.000000,650
2009-10-23,20.200001,20.200001,20.190001,20.200001,0.000000,10
2009-10-26,null,null,null,null,null,null
2009-10-27,20.950001,22.000000,20.950001,21.900000,0.000000,1430
2009-10-28,21.660000,21.670000,21.660000,21.660000,0.000000,17
2009-10-29,21.680000,21.870001,21.680000,21.870001,0.000000,223
2009-10-30,21.120001,21.120001,21.120001,21.120001,0.000000,400
2009-11-02,21.070000,21.260000,21.070000,21.070000,0.000000,390
2009-11-03,null,null,null,null,null,null
2009-11-04,null,null,null,null,null,null
2009-11-05,20.650000,21.150000,20.350000,20.650000,0.000000,751
2009-11-06,null,null,null,null,null,null
2009-11-09,null,null,null,null,null,null
2009-11-10,21.040001,21.230000,21.040001,21.040001,0.000000,50
2009-11-11,null,null,null,null,null,null
2009-11-12,21.490000,21.490000,21.490000,21.490000,0.000000,300
2009-11-13,null,null,null,null,null,null
2009-11-16,null,null,null,null,null,null
2009-11-17,null,null,null,null,null,null
2009-11-18,21.090000,21.320000,21.090000,21.320000,0.000000,1480
2009-11-19,20.600000,20.740000,20.290001,20.290001,0.000000,730
2009-11-20,20.500000,20.559999,20.500000,20.559999,0.000000,48
2009-11-23,20.209999,20.500000,20.209999,20.500000,0.000000,800
2009-11-24,20.490000,20.490000,20.200001,20.200001,0.000000,241
2009-11-25,20.940001,21.290001,20.940001,21.290001,0.000000,111
2009-11-26,null,null,null,null,null,null
2009-11-27,20.580000,20.580000,20.260000,20.260000,0.000000,1000
2009-11-30,null,null,null,null,null,null
2009-12-01,null,null,null,null,null,null
2009-12-02,null,null,null,null,null,null
2009-12-03,22.370001,22.370001,22.350000,22.350000,0.000000,100
2009-12-04,22.620001,22.990000,22.299999,22.990000,0.000000,2030
2009-12-07,null,null,null,null,null,null
2009-12-08,22.920000,23.070000,22.900000,23.070000,0.000000,1040
2009-12-09,22.840000,23.150000,22.809999,22.809999,0.000000,600
2009-12-10,null,null,null,null,null,null
2009-12-11,22.950001,23.129999,22.830000,23.000000,0.000000,339
2009-12-14,23.110001,23.500000,23.059999,23.059999,0.000000,455
2009-12-15,null,null,null,null,null,null
2009-12-16,null,null,null,null,null,null
2009-12-17,23.340000,23.500000,23.320000,23.500000,0.000000,151
2009-12-18,23.260000,23.260000,23.260000,23.260000,0.000000,300
2009-12-21,23.100000,23.160000,23.100000,23.160000,0.000000,90
2009-12-22,null,null,null,null,null,null
2009-12-23,23.520000,23.580000,23.200001,23.580000,0.000000,748
2009-12-28,23.520000,23.850000,23.469999,23.469999,0.000000,159
2009-12-29,null,null,null,null,null,null
2009-12-30,23.500000,23.500000,23.500000,23.500000,0.000000,80
2010-01-04,23.715000,23.950001,23.415001,23.950001,0.000000,1175
2010-01-05,23.555000,23.700001,23.555000,23.700001,0.000000,567
2010-01-06,null,null,null,null,null,null
2010-01-07,null,null,null,null,null,null
2010-01-08,23.745001,23.785000,23.745001,23.785000,0.000000,485
2010-01-11,23.670000,23.700001,23.514999,23.700001,0.000000,285
2010-01-12,24.725000,24.924999,24.725000,24.760000,0.000000,390
2010-01-13,24.799999,24.799999,24.700001,24.700001,0.000000,750
2010-01-14,25.000000,25.219999,25.000000,25.219999,0.000000,350
2010-01-15,25.770000,25.889999,25.440001,25.440001,0.000000,3180
2010-01-18,25.580000,25.594999,25.580000,25.594999,0.000000,20
2010-01-19,25.125000,25.190001,25.125000,25.190001,0.000000,68
2010-01-20,25.115000,25.125000,25.115000,25.125000,0.000000,10
2010-01-21,25.459999,25.459999,25.285000,25.285000,0.000000,800
2010-01-22,25.129999,25.129999,24.990000,24.990000,0.000000,50
2010-01-25,24.575001,24.575001,24.514999,24.514999,0.000000,350
2010-01-26,23.975000,24.535000,23.975000,24.535000,0.000000,24
2010-01-27,23.900000,23.900000,23.900000,23.900000,0.000000,0
2010-01-28,24.405001,24.885000,24.405001,24.660000,0.000000,1200
2010-01-29,24.690001,24.690001,24.690001,24.690001,0.000000,1300
2010-02-01,23.805000,23.805000,23.805000,23.805000,0.000000,0
2010-02-02,24.125000,25.000000,24.105000,25.000000,0.000000,8050
2010-02-03,24.875000,25.799999,24.875000,25.799999,0.000000,4310
2010-02-04,25.445000,25.610001,25.445000,25.500000,0.000000,1160
